N° Certificado|Laboratorio|Nombre Comercial|Forma Farmacéutica|Presentación|Precio Venta al Público| (uso exclusivamente hospitalario - muestra médica - no venta al público)| (muestra médica - no venta al público)| (uso exclusivamente hospitalario - muestra médica)| (uso exclusivamente hospitalario - no venta al público)| (uso exclusivamente hospitalario)| (muestra médica)| (no venta al público)|GTIN|Genérico|Genérico[IFA,Cantidad,Unidad]
43239|ABBOTT LABORATORIES ARGENTINA S.A.|ISONTYN|COMPRIMIDO| BLISTER por 14 UNIDADES |$85.08|0|0|0|0|0|0|0|07790440542910|TERAZOSINA 2 MG |[['TERAZOSINA', '2', 'MG']]
43239|ABBOTT LABORATORIES ARGENTINA S.A.|ISONTYN|COMPRIMIDO| BLISTER por 14 UNIDADES |$153.73|0|0|0|0|0|0|0|07790440543016|TERAZOSINA 5 MG |[['TERAZOSINA', '5', 'MG']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 25000|CAPSULA|1 FRASCO por 20 UNIDADES |$466.06|0|0|0|0|0|0|0|08002660011848|AMILASA 18000 U PH EUR + LIPASA 25000 U PH EUR + PROTEASA 1000 U PH EUR |[['AMILASA', '18000', 'U PH EUR'], ['LIPASA', '25000', 'U PH EUR'], ['PROTEASA', '1000', 'U PH EUR']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 10000|CAPSULA|1 FRASCO por 50 UNIDADES |$597.30|0|0|0|0| (uso exclusivamente hospitalario)|0|0|08002660011787|AMILASA 8000 U PH EUR + LIPASA 10000 U PH EUR + PROTEASA 600 U PH EUR |[['AMILASA', '8000', 'U PH EUR'], ['LIPASA', '10000', 'U PH EUR'], ['PROTEASA', '600', 'U PH EUR']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 25000|CAPSULA|1 FRASCO por 50 UNIDADES |$785.63|0|0|0|0| (uso exclusivamente hospitalario)|0|0|08002660011831|AMILASA 18000 U PH EUR + LIPASA 25000 U PH EUR + PROTEASA 1000 U PH EUR |[['AMILASA', '18000', 'U PH EUR'], ['LIPASA', '25000', 'U PH EUR'], ['PROTEASA', '1000', 'U PH EUR']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 25000|CAPSULA|1 FRASCO por 100 UNIDADES |$1,415.73|0|0|0|0| (uso exclusivamente hospitalario)|0|0|08002660011763|AMILASA 18000 U PH EUR + LIPASA 25000 U PH EUR + PROTEASA 1000 U PH EUR |[['AMILASA', '18000', 'U PH EUR'], ['LIPASA', '25000', 'U PH EUR'], ['PROTEASA', '1000', 'U PH EUR']]
34765|ABBOTT LABORATORIES ARGENTINA S.A.|COFRON JARABE|JARABE|1 FRASCO por 100 ML |$2,221.83|0|0|0|0|0|0|0|07790440470923|CLOFEDIANOL 250 MG / 100 ML + BROMHEXINA 40 MG / 100 ML |[['CLOFEDIANOL', '250', 'MG / 100 ML'], ['BROMHEXINA', '40', 'MG / 100 ML']]
34765|ABBOTT LABORATORIES ARGENTINA S.A.|COFRON JARABE PEDIATRICO|JARABE|1 FRASCO por 100 ML |$2,221.83|0|0|0|0|0|0|0|07790440471029|CLOFEDIANOL 140 MG / 100 ML + BROMHEXINA 20 MG / 100 ML |[['CLOFEDIANOL', '140', 'MG / 100 ML'], ['BROMHEXINA', '20', 'MG / 100 ML']]
38778|ABBOTT LABORATORIES ARGENTINA S.A.|KLARICID U.D|COMPRIMIDO DE LIBERACION MODIFICADA|1 BLISTER por 5 UNIDADES |$2,497.89|0|0|0|0|0|0|0|07790440429952|CLARITROMICINA 500 MG/COMPRIMIDO |[['CLARITROMICINA', '500', 'MG/COMPRIMIDO']]
35746|ABBOTT LABORATORIES ARGENTINA S.A.|DEPAKENE|JARABE|1 FRASCO por 120 ML |$2,682.61|0|0|0|0|0|0|0|07790440568217|ACIDO VALPROICO 5 G / 100 ML |[['ACIDO VALPROICO', '5', 'G / 100 ML']]
31804|ABBOTT LABORATORIES ARGENTINA S.A.|ISOPTINO 80 MG|COMPRIMIDO RECUBIERTO| ENVASE por 30 UNIDADES |$2,855.46|0|0|0|0|0|0|0|07790440504215|VERAPAMILO CLORHIDRATO 80 MG |[['VERAPAMILO CLORHIDRATO', '80', 'MG']]
